제목,장소,주소,기간,이미지URL,상세URL,세부장르,후기유무,이미지url,상세url,줄거리,작품설명
레베카,블루스퀘어 신한카드홀,서울 용산구 한남동 727-56,2023/08/19 ~ 2023/11/19,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190036_01.204.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008837,라이선스,O,,,"불의의 사고로 아내 레베카를 잃고 힘든 나날을 보내고 있는 막심 드 윈터,
그는 몬테카를로 여행 중 우연히 ‘나’를 만나 사랑에 빠지게 된다.
행복한 결혼식을 올린 두 사람은 막심의 저택인 맨덜리에서 함께 생활하게 되는데...

맨덜리는 아름다웠지만 음산하고 기묘한 분위기를 풍기는 곳이기도 했다.
마치 죽은 레베카가 살아 숨 쉬고 있는 것처럼
맨덜리의 모든 것은 여전히 레베카에게 깊게 물들어 있고
집사 댄버스 부인은 시종일관 무표정을 유지하며 ‘나’에게 경계심을 드러낸다.

사랑하는 막심과의 행복한 삶을 꿈꾸던 ‘나’는 점점 위축되어 가고
오해가 쌓여 막심과의 관계도 위태로워진다.
‘나’가 자괴감에 빠져 괴로워할 때, 레베카의 보트와 시신이 우연히 발견되면서
상황은 새로운 국면을 맞이하게 되는데...","더 이상 수식어가 필요 없는 가장 완벽한 뮤지컬!

역사적 10주년 기념공연으로 돌아온 대체불가 ‘메가 스테디셀러’
약 13개국, 11개 언어로 공연되며 전 세계 2,100만 관객을 전율케 한 초대형 흥행작!
2013년 한국 초연 이후, 2022년 여섯 번째 시즌까지 누적 관람객 95만명 기록!

스릴러의 거장 히치콕의 영화로도 유명한 <레베카>!
감동적인 로맨스, 반전을 거듭하는 서스펜스, 강력한 킬링 넘버!
유럽 뮤지컬 레전드! 극작가 미하엘 쿤체(Michael Kunze)와 작곡가 실베스터 르베이(Sylvester Levay)의 ‘마스터 피스’

영국의 대표 작가 대프니 듀 모리에의 소설을 원작으로,
스릴러의 거장 알프레도 히치콕의 동명의 영화로도 유명한 뮤지컬 <레베카>!
원작을 뛰어넘는 뮤지컬의 탄생이라 불리며 전세계에서 사랑받아온 대작!
숨막히도록 아름다운 대저택의 비밀이 밝혀진다!

대한민국 초연 10주년 기념 무대를 꾸밀 대한민국 최정상 스태프와 압도적인 완벽 캐스팅 라인업!

총괄프로듀서 엄홍현, 연출 로버트 요한슨, 음악감독 김문정 등 국내외 최고의 스태프 총망라!
류정한, 민영기, 에녹, 신영숙, 옥주현, 리사, 장은아, 김보경, 이지혜 등 지난 시즌의 히어로들과
테이, 이지수, 웬디 등 뉴 캐스팅으로 한층 업그레이드된, 단 한 순간에 관객을 매혹시킬 <레베카> 10주년 기념 공연!"
오페라의 유령,샤롯데씨어터,서울 송파구 잠실동 40-1번지,2023/07/21 ~ 2023/11/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_183052_01.841.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006740,라이선스,O,,,줄거리 없음,"13년 간의 긴 기다림…
마침내 한국의 유령이 온다!

환영과도 같은 무대
사라지지 않을 영원한 당신의 첫 감동!
13년 만에 오페라 하우스의 문이 열린다"
멤피스,충무아트센터 대극장,서울특별시 중구 흥인동 131번지,2023/07/20 ~ 2023/10/22,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188550_01.227.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007154,라이선스,O,,,줄거리 없음,"전세계 유수 시상식 석권하며 작품성 인정
토니 어워즈 최우수 작품상, 음악상, 각본상, 오케스트레이션상 수상
드라마 데스크 어워즈 최우수작품상, 여우주연상, 오케스트레이션상 수상
로렌스 올리비에 어워즈 최우수 안무상, 음향상 수상

토니 어워즈 수상 창작진의 위대한 만남
토니 어워즈 각본상 출신 극작가 <올슉업>, <아이 러브 유>의 조 디피에트로
토니 어워즈 음악상 출신 작곡가 & 본 조비 키보디스트 데이비드 브라이언 히트
토니 어워즈 안무상 최초 히스패닉 수상자 안무가 세르지오 트루히요

작품성과 대중성을 동시에 완성시킬 국내 최고 창작진 총집합
<리지>, <매디슨 카운티의 다리>, <팬레터> 등 섬세하면서도 독창적인 김태형 연출
한국뮤지컬어워즈 수상 경력 양주인 음악 감독과 이현정 안무 감독
감각적인 조수현 무대 영상 디자이너, 마선영 조명 디자이너, 안현주 의상 디자이너

올 여름 멤피스 열풍을 불러일으킬 최정상 배우들의 향연
뮤지컬 명품 보컬리스트 박강현, 고은성
예능 대세 블루칩이자 뮤지컬계 신성 이창섭
대한민국 최고 디바 정선아, 유리아, 손승연
연기내공 만렙 배우 최민철, 심재현, 최정원, 류수화 등"
22년 2개월,링크아트센터 벅스홀,서울특별시 종로구 대학로14길 29(혜화동),2023/08/31 ~ 2023/11/05,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190930_01.215.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009827,창작,O,,,"1919년, 혼란스러운 조선을 떠나 동경으로 가는 배 안.
쫓기던 박열은 도망치던 중 가네코와 부딪히게 되고 서로의 책이 바뀌게 된다.

가네코의 당당함과 매력에 영감을 받은 박열은 시를 써 ‘조선 청년‘에 기고하고,
가네코는 박열의 시에 한눈에 매료된다.

무정부주의를 꿈꾸며 일본 황태자의 암살을 계획하던 박열은
가네코와 함께하는 것이 걸림돌이 될 수 있음을 직감하며 그녀를 떠나려 하지만,
1923년 찾아온 관동대지진의 혼란 속에서
두 사람은 서로에 대한 사랑을 다시 한번 확인한다.

그러나,
일본 정부와 시민 자경단에 의해 박열과 가네코는 구속되고
황태자를 암살하려 했다는 계획이 밝혀지는데…

*이 이야기는 역사적 사실을 기반을 토대로 극적으로 재구성하였습니다.","7년의 개발 과정을 거친 다미로 X 아떼오드의 신작!
뮤지컬 <광염 소나타>의 원작자이자 작곡가 겸 음악감독 다미로가
7년간 기획 / 개발한 창작뮤지컬 <22년 2개월>이
제작사 (주)아떼오드에 의해
드디어 관객들에게 공개된다!

아주 평온한 표정으로 턱을 괴고 의자에 앉아있는 남자와
그에게 기대어 책은 읽는 여자.
이 사진 한 장에서 출발한 뮤지컬 <22년 2개월>은
박열과 가네코의 역사적 실화 위에 극적 상상력을 더했다.

최고의 배우들과 5인조 오케스트라의 앙상블로 완성되는
박열과 가네코 후미코의 이상과 사랑!
민족적 차이를 넘어 함께했던 박열과 가네코,
그 둘을 지키고자 했던 후세와 다테마스.
그리고 불령사.
그들의 이야기가 배우들과 5인조 오케스트라의 조화를 통해
무대 위에 구현된다."
프리다,코엑스 신한카드 아티움,서울 강남구 삼성1동 무역센터 코엑스(COEX),2023/08/01 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188547_01.343.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008062,창작,O,,,줄거리 없음,작품설명 없음
벤허,LG아트센터 서울 LG SIGNATURE 홀,서울특별시 강서구 마곡동 812 LG아트센터 서울,2023/09/02 ~ 2023/11/19,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190718_01.103.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=L0000049,창작,O,,,"서기 26년, 제정 로마의 박해에 신음하는 예루살렘. 명망 높은 유대의 귀족 벤허는 로마의 장교가 되어 돌아온 친구 메셀라와 오랜만에 재회한다. 숱한 전쟁을 겪으며 살아남은 메셀라는 벤허에게 유대의 폭도 소탕을 도와달라 부탁하지만, 벤허는 이를 거절한다.

다음 날, 벤허의 여동생 티르자는 집 옥상에서 그라투스 총독의 행군을 구경하다 기왓장을 떨어뜨리는 사고를 낸다. 메셀라는 이를 문제삼아 벤허 가문 전체에 반역죄를 씌운다. 억울한 누명을 쓴 벤허는 로마 군함의 노를 젓는 노예가 된다.

3년 후, 벤허가 탄 군함이 해적과의 전투 중 난파되고, 사령관 퀸터스의 목숨을 구한 벤허는 자유의 신분을 얻어 로마의 귀족이 된다. 생사의 위기를 극복한 벤허는 자신의 모든 것을 앗아간 메셀라에게 복수할 것을 결심한다.

한편, 예루살렘은 나사렛에서부터 유대의 새로운 왕이 온다는 소문으로 술렁이고, 마침내 고향으로 돌아온 벤허는 메셀라에 맞서 전차경주장의 출발선 앞에 나란히 서게 되는데...","대한민국 창작 뮤지컬의 압도적 수작의 귀환!
제2회 한국뮤지컬어워즈 대상, 무대예술상, 앙상블상 수상 및 11개 부문 노미네이트!
제6회 에그린뮤지컬어워드 앙상블상 수상!
작품성과 대중성을 모두 만족시킨 대작!
한국 창작 뮤지컬의 새로운 기준을 정립한 수작이 돌아온다!

월드클래스 창작 뮤지컬 명가 EMK의 제작 노하우가 더해져 새롭게 탄생할 <벤허>!
웅장한 경기장에서 펼쳐지는 마지막 전차 경주!
파노라마처럼 펼쳐지는 생생한 수중 탈출 장면!
한 편의 액션 영화처럼 역동적이고 박진감 넘치는 볼거리!
EMK가 만들어낼 단 하나의 무대, 한국 뮤지컬 기술력의 정수를 만난다!

시대를 뛰어넘은 명작의 재탄생!
1880년 소설, 1959년 명작의 반열에 오른 영화 <벤허>
100년이 넘는 시간 동안 증명된 콘텐츠 파워!
시대와 언어를 뛰어넘은 명작이 돌아온다!"
시스터즈,홍익대 대학로 아트센터 대극장,서울시 종로구 연건동 128-8 (대학로 57번지),2023/09/03 ~ 2023/11/12,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191013_01.012.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009689,뮤지컬,O,,,줄거리 없음,"* 세계 속 한류를 이끄는 걸그룹들, 과연 그들의 시작은 누구였을까?
세계적 열풍인 K-pop의 반을 차지하는 걸그룹들. 그들은 치열한 경쟁에서 살아남았으며 지금도 최고의자리를 지키기 위해 혹독하게 스스로를 채찍질하는 대단한 근성의 여성들이다. 이런 한국 걸그룹 파워가 과연 하루아침에 이뤄진 것일까? 혹은 특별한 한국 여성의 유전자가 존재하는 것은 아닐까?
연출 박칼린은 이렇게 한국 걸그룹 파워의 시작점에 주목했고, 그 ‘걸그룹 선조- 시스터즈’들의 이야기를 뮤지컬로 담아보기로 결심했다.

* 빛바랜 사진 속에서 뮤지컬 무대 위로, 화려하게 부활하는 레전드들
이 의문의 답을 찾기 위해 연출 박칼린과 전수양 작가는 80여 년 전으로 거슬러 올라갔다. 현대와마찬가지로 성하고 스러진 수많은 그룹들 가운데 특히 한국 가요사에 족적을 남긴 시스터즈의 이야기를 극에 담아내기로 결심했다. 거기엔 조선악극단의 여성 단원으로 구성된 <저고리 시스터>를 시작으로 60년대 슈퍼 걸그룹 <이 시스터즈>, 대중음악의 전설 <윤복희와 코리아 키튼즈>, 그리고 20세기 후반 한국 대중음악계를 휩쓴 <바니걸즈>와 걸출한 예인 인순이를 배출한 <희자매> 등 거인들이 있었다.

일제 강점, 전쟁, 가난, 연예인에 대한 폄하, 여자 가수에 대한 멸시 등 척박한 환경 속에서도 기어코 살아남아 이름을 떨쳤던 그녀들. 특히 라디오가 막 가정에 보급되고 흑백 TV가 전부인 시절에도 사람들의 입에서 입으로 전해지며 유명해지고, 실력을 뽐냈던 그녀들의 화려하고 당당한 무대를 오늘날 뮤지컬 무대 위에서 화려하게 부활시켜 보려고 한다.

연출 박칼린은 “쇼 뮤지컬 <시스터즈 (SheStars!)>가 세 가지 여운을 관객에게 남기는 공연이 되길 바란다. 그 첫 번째는 우리 음악 역사에 운명을 개척했던 대단한 여성들이 있었구나. 둘째는 역사물인데도 너무 흥미진진하고 재미있는 구성이었다. 그리고, 마지막으로 그 무대를 채우는 우리 배우들이 정말 시대의 히로인을 표현하기에 손색이 없이 대단하다는 것이다. 100분간의 컴팩트한 시간이 그야말로 쏜살같이 흐르는 즐거운 경험을 할 것”이라고 공연에 대한 기대를 드높였다.

* 전 배역을 멀티로 소화해 낼 배우들
흑백사진 속 인물들을 현실로 불러내 올 <시스터즈 (SheStars!)>의 배우들은 한국 뮤지컬의 전성기를 이어갈 재능 넘치는 신성들로 구성되었다.
유연, 신의정, 김려원, 선민, 하유진, 이예은, 정유지, 정연, 이서영, 홍서영, 황성현 등 크고 작은 무대에서 빼어난 재능을 뽐냈던 배우들은 모두 까마득한 예인 선배들의 무대를 재현하는 배우로 선택된 것에 기뻐하며 전설들의 완벽한 무대 매너, 가창력, 카리스마에 누가 되지 않기 위해 저마다 혼신의 노력을 다할 각오를 비추고 있다.

특히 이 배우들의 무대가 더욱 빛날 것은 참여하는 모든 배우가 멀티 배역으로 여러 역할을 소화한다는 점이다.

공연에 참여하는 배우는 여배우 10명에 남배우 1명 합쳐 총 11명, 그러나 한 공연의 무대 위 출연배우는 단 7명이다. 이를 위해 각 배우들은 주역 1-3인과 단역 3-4인을 소화하며 고군분투하고 오늘과 내일 소화하는 주요 배역도 달라진다. 단일 서사의 북 뮤지컬에서는 좀처럼 볼 수 없는 주연 배우가 주, 조, 단역을 모두 소화하는 배역 배정은 배우들에게는 새로운 도전정신을 불러일으키고, 관객들에게는 흥미로움과 다 회 관람의 가치를 높인다.
배우들이 이 새로운 시스템을 완벽하게 소화해 낼 때, 본인들이 그리는 전설들처럼, 목표를 위해 열심히 노력한 예인으로서의 카타르시스를 느끼게 될 것이며, 그 에너지는 관객들에게 큰 감동을 선사할 것이다.

* 10인조 밴드와 함께 그 시절의 느낌 그대로 부활할 시대의 히트곡들
지휘자 없이 밴드 마스터와 함께 구성된 10인조 밴드와 각 시대 가수들의 드라마틱한 모습으로 분한 배우들은 ‘처녀 합창’, ’울릉도 트위스트’, ‘What I’d Say’, ’커피 한잔’ 등 시대의 히트곡들을 그 시절 그대로의 감성으로 되살린다. 춤꾼, 노래꾼, 연주자로 대표되었던 그 시절 엔터 업계의 느낌을 그대로 살려 <시스터즈 (SheStars!)>의 밴드는 또 하나의 배우로서 무대 위 존재한다. 금관악기가 주축이 되는 브라스 밴드가 들려주는 시대의 주법을 되살린 음악, 그리고 시스터즈들의 발성과 몸짓을 그대로 재현하는 배우들은 시대의 히트곡들이 왜 관객들의 사랑을 받을 수밖에 없었는지를 증명하는 무대가 될 것이다.

* 멈춘 왁스 뮤지엄이 아닌 생생하게 살아 숨 쉬는 시스터즈들의 시그니처 무대
이 공연의 가장 큰 특징은 무대 위 진정한 엔터테이너였던 시스터즈들의 최전성기 전설적 무대를 그대로 재현하는 쇼가 중심이 된다는 것이다. 또한 쇼 사이사이에 그 시대 최고의 팝스타가 되기까지 성장 스토리가 드라마틱하게 엮인다. 그녀들의 스토리, 그리고 옛날 신문, 사진, 영상 등 팩트가 가미되어 다큐멘터리를 보는 것 같으면서도 어느 순간 생생한 그 시절이 오늘날 허구의 무대에서 화려하게 재생되는 일종의 모큐멘터리 공연이다.

* 하이테크로 완성되는 최고의 아날로그적 무대
본 작품 속 무대는 시간과 배경을 초월해서 구성된다.
일제 강점기의 경성 조선극장, 미8군 무대, 60년대 라스베가스 호텔, 에드설리번 쇼, 서울 명동 거리 등 역사 속 다양한 배경이 등장한다. 자료화면을 보는 듯한 무대는 어느새 무대 뒤 분장실, 화려한 무대로 변하고, 시스터즈들은 현란한 조명 속에서 춤추며 노래하다 다시 쓸쓸한 무대 뒤에서 앳된 여인으로 돌아간다. 시공간을 초월하는 도구로서 최신 무대 기술은 구현되지만, 그 옛날 의존할 기계음, 포토샵 하나 없이 오로지 자신들의 실력과 아우라로만 무대를 휘어잡아야 했던 그 시절의 가치와 시대 느낌을 지키기 위해, 무대는 하이테크 기술을 통해 더욱더 아날로그적으로 표현된다."
썸데이,업스테이지,서울특별시 종로구 동숭길 41 (동숭동),2023/09/01 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192003_01.327.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011284,창작,O,,,줄거리 없음,작품설명 없음
언제는 행복하지 않은 순간이 있었나요 - 부산,부산 엠스테이지,부산광역시 연제구 월드컵대로 190(거제동) 지하1층 부산엠스테이지,2023/08/31 ~ 2023/12/31,,,창작,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191923_01.639.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011164,줄거리 없음,작품설명 없음
왓 이프,룸씨어터,서울특별시 종로구 동숭동 1-113 지하 1층,2023/05/19 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186831_01.053.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23004838,창작,O,,,"일에 대한 열정도 사랑에 대한 호기심도 잃은 지 오래인 30대 직장인 주명.
반짝반짝했던 젊음은 온데간데 사라지고 껍데기뿐인 삶만 남아 허우적거리며 살아가고 있다. 
 
회사에서 일명 고스트라 불리며 무존재감으로 살아가던 중 
어느날, 완벽남 차은유 과장의 등장으로 평범했던 일상이 두근거리기 시작했다. 

그의 마음이 얻고 싶은 주명은 회사에서 유일하게 의지하고
고스트 동지 유신에게 고민 상담을 받게 되는데 
유신은 가문 대대로 소원을 들어주는 신비한 능력이 있다며
믿을 수 없는 이야길 꺼내며 다섯 가지 소원을 들어주기로 약속한다. 

과연 주명이 다섯 가지 소원으로
완벽남 차은유의 마음을 뺏을 수 있을까?","내가 아닌 다른 사람으로 산다면 어떤 사람이 되고 싶습니까?

전쟁터 같은 직장에서 내성적이고 소심한 성격 탓에
상사와 후배에게 치여도 제대로 말 한마디 하지 못하는 주인공 주명. 
어쩌면 오늘을 살아가는 우리의 모습과 닮아있습니다.
그렇게 말을 잃고 의욕을 잃고 희망도 잃어버리면 
어디로 향하는지 모른 채 점점 자신의 빛을 잃게 됩니다. 
그래서 우리는 종종 만약 내가 아닌 다른 사람이 되면 어떨까 상상합니다. 

그런 주인공 주명에게 어느 날 판타지 같은 일이 펼쳐집니다.
다른 사람으로 살아갈 수 있는 절호의 기회!
이 기회로 평범한 주인공이 사랑도 일도 
무엇보다 자신의 인생을 환하게 빛낼 수 있을까요?

직장인들이 공감할 이야기와 아찔한 로맨스 그리고 현실 웃음까지.
<왓 이프>에서 만나보시기 바랍니다. 많이 기대해주세요 "
