제목,topic,기간,상세url,세부장르,이미지url,장소,주소,후기유무,id
2시 22분,함께 보기 좋은,2023/07/19 ~ 2023/09/02,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006686,연극,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188548_01.711.gif,세종문화회관 M씨어터,서울시 종로구 세종로 81-3,O,88
2호선 세입자,함께 보기 좋은,2022/01/14 ~ 2023/10/03,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21013249,연극,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/12/0400012112_171268_01.421.gif,바탕골 소극장,서울시 종로구 동숭동 1-60번지,O,89
3일간의 비,함께 보기 좋은,2023/07/25 ~ 2023/10/01,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007658,연극,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188608_01.340.gif,이해랑 예술극장,서울특별시 중구 필동 3가 26번지,O,87
곤 투모로우,함께 보기 좋은,2023/08/10 ~ 2023/10/22,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008578,창작,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189881_01.920.gif,광림아트센터 BBCH홀,서울 강남구 신사동 568-2번지,O,5
그날들,함께 보기 좋은,2023/07/12 ~ 2023/09/03,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006380,창작,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188054_01.736.gif,예술의전당 오페라극장,서울특별시 서초구 서초동 700번지,O,4
극적인 하룻밤,함께 보기 좋은,2023/07/26 ~ 2023/09/30,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008636,연극,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189913_01.310.gif,"JS아트홀(구,고스트씨어터)",서울특별시 종로구 동숭동 25-11,O,128
꿈꾸는 안데르센 - 수원,연출이 완벽한,2023/08/19 ~ 2023/09/10,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009506,어린이/가족,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190614_01.407.gif,광교레이크아트홀,경기 수원시 영통구 원천동 589번지 광교중흥S클래스 내 밀라노 모모빌리지 키즈카페 옆 광교레이크아트홀,O,44
내일은 내일에게,연출이 완벽한,2023/07/29 ~ 2023/10/29,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008468,연극,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189886_01.727.gif,초록씨어터,서울특별시 종로구 대학로 128 (동숭동) 21세기빌딩 5층,O,157
늘근도둑 이야기,연출이 완벽한,2022/03/05 ~ 2023/09/30,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22001159,연극,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/02/0400012202_172169_01.218.gif,아트포레스트 아트홀 1관,서울특별시 종로구 동숭동 1-66,O,107
더 맨 얼라이브,연출이 완벽한,2023/05/12 ~ 2023/12/31,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23004388,창작,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186496_01.142.gif,서울숲 씨어터 2관,서울특별시 성동구 성수동1가 685-696,O,54
두들팝,연출이 완벽한,2022/01/22 ~ 2023/10/29,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21013289,어린이/가족,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/12/0400012112_171289_01.844.gif,신한pLay 스퀘어 드림홀,서울 마포구 서교동 490번지 메세나폴리스,O,167
