제목,장소,주소,기간,이미지url,상세url,세부장르,후기유무,줄거리,작품설명
레베카,블루스퀘어 신한카드홀,서울 용산구 한남동 727-56,2023/08/19 ~ 2023/11/19,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190036_01.204.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008837,라이선스,X,"불의의 사고로 아내 레베카를 잃고 힘든 나날을 보내고 있는 막심 드 윈터,
그는 몬테카를로 여행 중 우연히 ‘나’를 만나 사랑에 빠지게 된다.
행복한 결혼식을 올린 두 사람은 막심의 저택인 맨덜리에서 함께 생활하게 되는데...

맨덜리는 아름다웠지만 음산하고 기묘한 분위기를 풍기는 곳이기도 했다.
마치 죽은 레베카가 살아 숨 쉬고 있는 것처럼
맨덜리의 모든 것은 여전히 레베카에게 깊게 물들어 있고
집사 댄버스 부인은 시종일관 무표정을 유지하며 ‘나’에게 경계심을 드러낸다.

사랑하는 막심과의 행복한 삶을 꿈꾸던 ‘나’는 점점 위축되어 가고
오해가 쌓여 막심과의 관계도 위태로워진다.
‘나’가 자괴감에 빠져 괴로워할 때, 레베카의 보트와 시신이 우연히 발견되면서
상황은 새로운 국면을 맞이하게 되는데...","더 이상 수식어가 필요 없는 가장 완벽한 뮤지컬!

역사적 10주년 기념공연으로 돌아온 대체불가 ‘메가 스테디셀러’
약 13개국, 11개 언어로 공연되며 전 세계 2,100만 관객을 전율케 한 초대형 흥행작!
2013년 한국 초연 이후, 2022년 여섯 번째 시즌까지 누적 관람객 95만명 기록!

스릴러의 거장 히치콕의 영화로도 유명한 <레베카>!
감동적인 로맨스, 반전을 거듭하는 서스펜스, 강력한 킬링 넘버!
유럽 뮤지컬 레전드! 극작가 미하엘 쿤체(Michael Kunze)와 작곡가 실베스터 르베이(Sylvester Levay)의 ‘마스터 피스’

영국의 대표 작가 대프니 듀 모리에의 소설을 원작으로,
스릴러의 거장 알프레도 히치콕의 동명의 영화로도 유명한 뮤지컬 <레베카>!
원작을 뛰어넘는 뮤지컬의 탄생이라 불리며 전세계에서 사랑받아온 대작!
숨막히도록 아름다운 대저택의 비밀이 밝혀진다!

대한민국 초연 10주년 기념 무대를 꾸밀 대한민국 최정상 스태프와 압도적인 완벽 캐스팅 라인업!

총괄프로듀서 엄홍현, 연출 로버트 요한슨, 음악감독 김문정 등 국내외 최고의 스태프 총망라!
류정한, 민영기, 에녹, 신영숙, 옥주현, 리사, 장은아, 김보경, 이지혜 등 지난 시즌의 히어로들과
테이, 이지수, 웬디 등 뉴 캐스팅으로 한층 업그레이드된, 단 한 순간에 관객을 매혹시킬 <레베카> 10주년 기념 공연!"
오페라의 유령,샤롯데씨어터,서울 송파구 잠실동 40-1번지,2023/07/21 ~ 2023/11/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_183052_01.841.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006740,라이선스,O,줄거리 없음,"13년 간의 긴 기다림…
마침내 한국의 유령이 온다!

환영과도 같은 무대
사라지지 않을 영원한 당신의 첫 감동!
13년 만에 오페라 하우스의 문이 열린다"
멤피스,충무아트센터 대극장,서울특별시 중구 흥인동 131번지,2023/07/20 ~ 2023/10/22,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188550_01.227.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007154,라이선스,O,줄거리 없음,"전세계 유수 시상식 석권하며 작품성 인정
토니 어워즈 최우수 작품상, 음악상, 각본상, 오케스트레이션상 수상
드라마 데스크 어워즈 최우수작품상, 여우주연상, 오케스트레이션상 수상
로렌스 올리비에 어워즈 최우수 안무상, 음향상 수상

토니 어워즈 수상 창작진의 위대한 만남
토니 어워즈 각본상 출신 극작가 <올슉업>, <아이 러브 유>의 조 디피에트로
토니 어워즈 음악상 출신 작곡가 & 본 조비 키보디스트 데이비드 브라이언 히트
토니 어워즈 안무상 최초 히스패닉 수상자 안무가 세르지오 트루히요

작품성과 대중성을 동시에 완성시킬 국내 최고 창작진 총집합
<리지>, <매디슨 카운티의 다리>, <팬레터> 등 섬세하면서도 독창적인 김태형 연출
한국뮤지컬어워즈 수상 경력 양주인 음악 감독과 이현정 안무 감독
감각적인 조수현 무대 영상 디자이너, 마선영 조명 디자이너, 안현주 의상 디자이너

올 여름 멤피스 열풍을 불러일으킬 최정상 배우들의 향연
뮤지컬 명품 보컬리스트 박강현, 고은성
예능 대세 블루칩이자 뮤지컬계 신성 이창섭
대한민국 최고 디바 정선아, 유리아, 손승연
연기내공 만렙 배우 최민철, 심재현, 최정원, 류수화 등"
그날들,예술의전당 오페라극장,서울특별시 서초구 서초동 700번지,2023/07/12 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188054_01.736.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006380,창작,O,줄거리 없음,작품설명 없음
곤 투모로우,광림아트센터 BBCH홀,서울 강남구 신사동 568-2번지,2023/08/10 ~ 2023/10/22,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189881_01.920.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008578,창작,O,"1884년 조선, 밖으로는 서구열강과 청, 일본의 이권쟁탈이 가속화되고,
안으로는 혼란스러운 정세를 틈타 간신들이 활개치던 시기.
‘고종’은 젊은 개화파 지식인 ‘김옥균’에게 개혁의 의지를 위탁하여 혁명을 도모한다.
하지만 청군의 개입과 일본의 배신으로 갑신정변은 3일만에 막을 내리고,
‘김옥균’은 조선을 떠나 일본으로 망명한다.

한편, 족보를 팔아 불란서로 건너 간 ‘한정훈’은
고종의 부름에 조선으로 돌아오게 되고,
불란서 최초의 유학생 ‘홍종우’의 이름으로 ‘옥균’에게 접근, 암살할 것을 명 받는다.

그러나 본래 의도와는 다르게 옥균을 만난 후 정훈은 깊은 고뇌에 빠지게 되는데…","세 발의 총성, 사라진 내일, 갈 수 없는 나라
오늘을 살아가는 모두에게 건네는 불씨
뮤지컬 <곤 투모로우>

갑신정변이라는 근대적 개혁운동을 일으켰으나 3일 만에 실패하고
결국 암살당한 김옥균의 이야기를 모티브로 작가적 상상력을 더해 새롭게 재창조!

인물의 심리를 극적으로 표현한 음악과 격변기의 거대한 소용돌이를 표현한 무대
시대의 흐름과 인물의 감정을 극대화하며, 영화를 보는 듯한 미장센의 감각적인 조명과 영상,
절도 있고 감각적인 안무, 탄탄한 드라마와 섬세한 인물 표현,
시대와 나라를 초월하는 컨템포러리 형식의 세련된 연출!

시대를 초월하는 묵직한 울림으로 깊은 감동을 선사하며
관객들을 사로잡은 뮤지컬 <곤 투모로우> 세번째 시즌,
2023년 8월 10일 광림아트센터 BBCH홀 개막!
대극장 프로덕션으로 더욱 웅장해진 미장센과
초 재연 이상의 완성도 높은 무대로 다시 한 번 가슴 뜨거운 감동을 예고하다!

‘김옥균’ 역에 강필석, 최재웅, 고훈정, 조형균,
‘한정훈’ 역에 김재범, 신성민, 백형훈, 윤소호,
‘고종’ 역에 고영빈, 박영수, 김준수
‘이완’ 역에 김태한, 임별, ‘종윤’ 역에 김민철 등
초 재연을 빛낸 주역들과 몰입도를 배가시킬 실력파 배우들로 구성된 탄탄한 캐스팅!

시대를 초월한 희망의 메시지로 많은 관객들의 기다림을 받은
뮤지컬 <곤 투모로우>가 다시 돌아온다!"
프리다,코엑스 신한카드 아티움,서울 강남구 삼성1동 무역센터 코엑스(COEX),2023/08/01 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188547_01.343.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008062,창작,X,줄거리 없음,작품설명 없음
왓 이프,룸씨어터,서울특별시 종로구 동숭동 1-113 지하 1층,2023/05/19 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186831_01.053.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23004838,창작,X,"일에 대한 열정도 사랑에 대한 호기심도 잃은 지 오래인 30대 직장인 주명.
반짝반짝했던 젊음은 온데간데 사라지고 껍데기뿐인 삶만 남아 허우적거리며 살아가고 있다. 
 
회사에서 일명 '고스트'라 불리며 무존재감으로 살아가던 중 
어느날, 완벽남 차은유 과장의 등장으로 평범했던 일상이 두근거리기 시작했다. 

그의 마음이 얻고 싶은 주명은 회사에서 유일하게 의지하고
고스트 동지 유신에게 고민 상담을 받게 되는데 
유신은 가문 대대로 소원을 들어주는 신비한 능력이 있다며
믿을 수 없는 이야길 꺼내며 다섯 가지 소원을 들어주기로 약속한다. 

과연 주명이 다섯 가지 소원으로
완벽남 차은유의 마음을 뺏을 수 있을까?","""내가 아닌 다른 사람으로 산다면 어떤 사람이 되고 싶습니까?""

전쟁터 같은 직장에서 내성적이고 소심한 성격 탓에
상사와 후배에게 치여도 제대로 말 한마디 하지 못하는 주인공 주명. 
어쩌면 오늘을 살아가는 우리의 모습과 닮아있습니다.
그렇게 말을 잃고 의욕을 잃고 희망도 잃어버리면 
어디로 향하는지 모른 채 점점 자신의 빛을 잃게 됩니다. 
그래서 우리는 종종 만약 내가 아닌 다른 사람이 되면 어떨까 상상합니다. 

그런 주인공 주명에게 어느 날 판타지 같은 일이 펼쳐집니다.
다른 사람으로 살아갈 수 있는 절호의 기회!
이 기회로 평범한 주인공이 사랑도 일도 
무엇보다 자신의 인생을 환하게 빛낼 수 있을까요?

직장인들이 공감할 이야기와 아찔한 로맨스 그리고 현실 웃음까지.
<왓 이프>에서 만나보시기 바랍니다. 많이 기대해주세요 "
이토록 보통의,예스24스테이지 3관,서울 종로구 동숭동 1-52,2023/08/29 ~ 2023/11/12,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190705_01.230.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009608,창작,X,줄거리 없음,작품설명 없음
사칠,대학로 드림아트센터 2관,서울 종로구 동숭동 1-42,2023/08/29 ~ 2023/11/05,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191078_01.753.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010047,창작,X,줄거리 없음,작품설명 없음
까칠한 재석이가 깨달았다,소극장 혜화당(구.까망 소극장),서울시 종로구 동숭동 1-89,2023/08/23 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191109_01.708.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010106,어린이/가족,X,줄거리 없음,작품설명 없음
