구분,제목,URL,티켓오픈일시,조회수,이미지URL
아동/가족,뮤지컬 브레드이발소 시즌2 <내 꿈을 찾아서> - 전주 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48144&groupno=48144&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.21(월) 09:00,35,http://ticketimage.interpark.com/Play/image/large/23/23011680_p.gif
콘서트,2023 김창완밴드 전국투어 <아니벌써> - 목포 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48164&groupno=48164&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.21(월) 09:00,87,http://ticketimage.interpark.com/Play/image/large/23/23011420_p.gif
연극,제6회 1번출구 연극제 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48157&groupno=48157&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.21(월) 11:00,98,http://ticketimage.interpark.com/Play/image/large/23/23011612_p.gif
콘서트,"엘르가든 내한공연 ELLEGARDEN ""Boys are Back in the East Tour 202..",http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48116&groupno=48116&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.21(월) 14:00,789,http://ticketimage.interpark.com/Play/image/large/23/23011601_p.gif
클래식/무용,[서울] 월트디즈니 100주년 기념 콘서트 - 더 사운드 오브 매직,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48120&groupno=48120&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.21(월) 14:00,457,http://ticketimage.interpark.com/Play/image/large/23/23011354_p.gif
콘서트,HAPPY JUNIEL,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48126&groupno=48126&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.21(월) 18:00,499,http://ticketimage.interpark.com/Play/image/large/23/23011512_p.gif
콘서트,Someday Festival 2023 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48177&groupno=48177&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.21(월) 18:00,225,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081816011094.jpg
뮤지컬,뮤지컬 <문스토리>,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48137&groupno=48137&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 11:00,300,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081114395448.jpg
콘서트,노엘 갤러거 하이 플라잉 버즈 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48149&groupno=48149&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 12:00,726,http://ticketimage.interpark.com/Play/image/large/23/23010643_p.gif
뮤지컬,뮤지컬 알쏭달쏭 캐치! 티니핑〈신비한 상자를 열어라!〉,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48142&groupno=48142&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,122,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023080915441432.jpg
뮤지컬,뮤지컬 <위윌락유> ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48148&groupno=48148&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,359,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081623200666.jpg
연극,연극 <집에 사는 몬스터> ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48155&groupno=48155&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,134,http://ticketimage.interpark.com/TicketImage/notice_poster/20/20230817010702.jpg
뮤지컬,헬로카봇 뮤지컬 시즌7 〈웰컴 투 파라다이스〉 - 성남 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48165&groupno=48165&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,62,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081611514144.jpg
콘서트,박해미 뮤지컬 갈라〈FRIENDS〉 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48166&groupno=48166&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,114,http://ticketimage.interpark.com/TicketImage/notice_poster/20/20230818012415.jpg
콘서트,〈불타는 트롯맨〉 TOP7 창원콘서트 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48167&groupno=48167&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,108,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081117273877.jpg
연극,2023년 연극 〈친정엄마와 2박3일 - 김해〉 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48169&groupno=48169&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,54,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081614145431.jpg
콘서트,LIVECONNECT STAGE with 시소 'Blacksheep Day' ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48174&groupno=48174&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 14:00,141,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081814495378.jpg
뮤지컬,쇼 뮤지컬 〈시스터즈 (SheStars!)〉  선예매,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=1&stext=&no=48141&groupno=48141&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 15:00,300,http://ticketimage.interpark.com/Play/image/large/23/23009689_p.gif
콘서트,〈불타는 트롯맨〉 TOP7 대구콘서트 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48168&groupno=48168&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 15:00,102,http://ticketimage.interpark.com/TicketImage/notice_poster/20/20230818013143.jpg
뮤지컬,뮤지컬 〈렛미플라이〉 ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48147&groupno=48147&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 16:00,319,http://ticketimage.interpark.com/Play/image/large/23/23010646_p.gif
콘서트,2023 영탁 단독 콘서트 〈TAK SHOW2: TAK'S WORLD〉 - 부산,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48109&groupno=48109&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 20:00,628,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081113541208.jpg
콘서트,BILLKIN ＆ PP KRIT ASIA FAN MEETING 2023 IN SEOUL,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48131&groupno=48131&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.22(화) 20:00,494,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081415065912.jpg
아동/가족,NEW 뮤지컬 번개맨 <전설의 시작> - 서울앵콜,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48129&groupno=48129&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.23(수) 11:00,113,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081115044177.jpg
아동/가족,[부산 앵콜] 뮤지컬 알쏭달쏭 캐치! 티니핑 <신비한 상자를 열어라!> ,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48171&groupno=48171&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.23(수) 11:00,44,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081715064098.jpg
연극,연극 〈카페 쥬에네스〉,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48119&groupno=48119&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.23(수) 14:00,302,http://ticketimage.interpark.com/Play/image/large/23/23010838_p.gif
연극,연극 〈테베랜드〉,http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48136&groupno=48136&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.23(수) 14:00,286,http://ticketimage.interpark.com/Play/image/large/23/23006433_p.gif
콘서트,2023 KIM SEJEONG 1st CONCERT ‘The 門',http://ticket.interpark.com/webzine/paper/TPNoticeView.asp?bbsno=34&pageno=2&stext=&no=48114&groupno=48114&seq=0&KindOfGoods=TICKET&Genre=&sort=opendate,23.08.23(수) 20:00,1149,http://ticketimage.interpark.com/TicketImage/notice_poster/20/2023081214200177.jpg
