showcode,date,rating,text
PF301821,2022.06.02,5,오랜만에 다같이 노래부르고 소리지르고 함성 지를 수 있어서 기뻤습니다!!!’ 새로운 뮤지션들도 알게되어 너무 뜻깊은 시간이었어요!
PF301821,2022.05.20,5,십란 보러 멀리 장거리 운전 도전했는데 후회 안해요ㅠ
PF301821,2022.05.19,5,"정말.. 정말 너무 너무 최고 ! 전주돔이 음향이 아쉬운 부분들은 있었지만, 그래도 전주돔을 꽉 채우는 열기를 잊을 수 없습니다. 정말 몇년만에 제대로 된 페스티벌을 만난 기분이였어요"
PF301821,2022.05.17,5,함성불가 떼창불가 only 박수 가능이었던 길고 긴 코시국... 그 끝의 시작을 전주 HAND와 함께했습니다 정말 행복했어요!!
PF301821,2022.05.16,5,조명......... 슬펐지만 소란 공연 대박이였어요!!
PF301821,2022.05.16,5,소란 정말 짱!! 그리고 떼창 가능한 공연이였어서 너무 좋았어요!!
PF301821,2022.05.12,4,음향과 조명이 아쉬웠지만 십센치와 소란 공연이 아주 좋았습니다!!
PF301821,2022.05.10,4,홍이삭님 보러 멀리 전주에 가서 영화제가열리는 축제장에 콘서트까지 좋은 기획으로 만날수 있었던 공연 감사드립니다 무엇보다 공연의 즐거움과 감동의 무대였던 홍이삭님의 열정을 다시한번 느낄수 있었던 하루 였습니다 그때 감동 오래남을듯합니다
PF301821,2022.05.10,5,돔라서 음향이 조금 아쉬웠지만 멋진 아티스트들을 볼 수 있어서 좋았습니다. 영화제 무대구조에서 공연을 배려한 구조는 아니었습니다...
PF301821,2022.05.10,4,지방이라 평소에 못보는 가수들을 보게되서 좋았고 코로나시국에 이런 함성있는 공연을 보게되서 정말 좋았고 다음에도 이런 공연이 자주 있었으면 좋겠어요
PF301821,2022.05.09,5,김필님 공연시간이 짧았던 거 빼면 아주 행복했습니다!!!! 핸드 최고!!! 셔틀도 운영해줘서 너무 편하고 감사했어요
